
150 ISOTOPES IN NETWORK:

Index  Isotope   A   Z   N  Abundance Y  MassFrac X  MassXS(MeV)
512 p+si28-->he4+al25 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-7.7130 prefac=1.0000 RGsymb:a+b<->c+d
513 al26-->mg26+e++nu reacClass=1 #react=1 #prod=1 isEC=0 isReverse=0 Q=4.0060 prefac=1.0000 RGsymb:a<->b
514 n+al26-->al27 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=13.0580 prefac=1.0000 RGsymb:a+b<->c
515 al27-->n+al26 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-13.0580 prefac=1.0000 RGsymb:a+b<->c
516 he4+al26-->p30 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=10.4150 prefac=1.0000 RGsymb:a+b<->c
517 p30-->he4+al26 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-10.4150 prefac=1.0000 RGsymb:a+b<->c
518 p+al27-->si28 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=11.5860 prefac=1.0000 RGsymb:a+b<->c
519 p+al27-->si28 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=11.5860 prefac=1.0000 RGsymb:a+b<->c
520 p+al27-->si28 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=11.5860 prefac=1.0000 RGsymb:a+b<->c
521 si28-->p+al27 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-11.5860 prefac=1.0000 RGsymb:a+b<->c
522 si28-->p+al27 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-11.5860 prefac=1.0000 RGsymb:a+b<->c
523 si28-->p+al27 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-11.5860 prefac=1.0000 RGsymb:a+b<->c
524 he4+al27-->p31 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=9.6690 prefac=1.0000 RGsymb:a+b<->c
525 p31-->he4+al27 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-9.6690 prefac=1.0000 RGsymb:a+b<->c
526 he4+al27-->n+p30 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-2.6360 prefac=1.0000 RGsymb:a+b<->c+d
527 he4+al27-->n+p30 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-2.6360 prefac=1.0000 RGsymb:a+b<->c+d
528 n+p30-->he4+al27 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.6360 prefac=1.0000 RGsymb:a+b<->c+d
529 n+p30-->he4+al27 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.6360 prefac=1.0000 RGsymb:a+b<->c+d
530 he4+al27-->p+si30 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.3720 prefac=1.0000 RGsymb:a+b<->c+d
531 p+si30-->he4+al27 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-2.3720 prefac=1.0000 RGsymb:a+b<->c+d
532 n+si28-->si29 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=8.4744 prefac=1.0000 RGsymb:a+b<->c
533 si29-->n+si28 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-8.4744 prefac=1.0000 RGsymb:a+b<->c
534 p+si28-->p29 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=2.7470 prefac=1.0000 RGsymb:a+b<->c
535 p+si28-->p29 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=2.7470 prefac=1.0000 RGsymb:a+b<->c
536 p29-->p+si28 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-2.7470 prefac=1.0000 RGsymb:a+b<->c
537 p29-->p+si28 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-2.7470 prefac=1.0000 RGsymb:a+b<->c
538 he4+si28-->s32 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=6.9480 prefac=1.0000 RGsymb:a+b<->c
539 s32-->he4+si28 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-6.9480 prefac=1.0000 RGsymb:a+b<->c
540 he4+si28-->p+p31 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-1.9171 prefac=1.0000 RGsymb:a+b<->c+d
541 he4+si28-->p+p31 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-1.9171 prefac=1.0000 RGsymb:a+b<->c+d
542 he4+si28-->p+p31 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-1.9171 prefac=1.0000 RGsymb:a+b<->c+d
543 he4+si28-->p+p31 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-1.9171 prefac=1.0000 RGsymb:a+b<->c+d
544 he4+si28-->p+p31 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-1.9171 prefac=1.0000 RGsymb:a+b<->c+d
545 he4+si28-->p+p31 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-1.9171 prefac=1.0000 RGsymb:a+b<->c+d
546 p+p31-->he4+si28 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.9171 prefac=1.0000 RGsymb:a+b<->c+d
547 p+p31-->he4+si28 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.9171 prefac=1.0000 RGsymb:a+b<->c+d
548 p+p31-->he4+si28 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.9171 prefac=1.0000 RGsymb:a+b<->c+d
549 p+p31-->he4+si28 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.9171 prefac=1.0000 RGsymb:a+b<->c+d
550 p+p31-->he4+si28 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.9171 prefac=1.0000 RGsymb:a+b<->c+d
551 p+p31-->he4+si28 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.9171 prefac=1.0000 RGsymb:a+b<->c+d
552 n+si29-->si30 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=10.6094 prefac=1.0000 RGsymb:a+b<->c
553 si30-->n+si29 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-10.6094 prefac=1.0000 RGsymb:a+b<->c
554 p+si29-->p30 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=5.6010 prefac=1.0000 RGsymb:a+b<->c
555 p+si29-->p30 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=5.6010 prefac=1.0000 RGsymb:a+b<->c
556 p30-->p+si29 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-5.6010 prefac=1.0000 RGsymb:a+b<->c
557 p30-->p+si29 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-5.6010 prefac=1.0000 RGsymb:a+b<->c
558 he4+si29-->s33 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.1160 prefac=1.0000 RGsymb:a+b<->c
559 s33-->he4+si29 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.1160 prefac=1.0000 RGsymb:a+b<->c
560 p+si29-->n+p29 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-5.7250 prefac=1.0000 RGsymb:a+b<->c+d
561 n+p29-->p+si29 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=5.7250 prefac=1.0000 RGsymb:a+b<->c+d
562 p+si29-->he4+al26 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-4.8200 prefac=1.0000 RGsymb:a+b<->c+d
563 he4+si29-->n+s32 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-1.5260 prefac=1.0000 RGsymb:a+b<->c+d
564 n+s32-->he4+si29 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.5260 prefac=1.0000 RGsymb:a+b<->c+d
565 he4+si29-->p+p32 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-2.4540 prefac=1.0000 RGsymb:a+b<->c+d
566 p+p32-->he4+si29 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.4540 prefac=1.0000 RGsymb:a+b<->c+d
567 n+si30-->si31 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=6.5884 prefac=1.0000 RGsymb:a+b<->c
568 si31-->n+si30 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-6.5884 prefac=1.0000 RGsymb:a+b<->c
569 p+si30-->p31 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.2970 prefac=1.0000 RGsymb:a+b<->c
570 p+si30-->p31 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.2970 prefac=1.0000 RGsymb:a+b<->c
571 p31-->p+si30 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.2970 prefac=1.0000 RGsymb:a+b<->c
572 p31-->p+si30 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.2970 prefac=1.0000 RGsymb:a+b<->c
573 he4+si30-->s34 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.9240 prefac=1.0000 RGsymb:a+b<->c
574 s34-->he4+si30 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.9240 prefac=1.0000 RGsymb:a+b<->c
575 p+si30-->n+p30 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-5.0150 prefac=1.0000 RGsymb:a+b<->c+d
576 n+p30-->p+si30 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=5.0150 prefac=1.0000 RGsymb:a+b<->c+d
577 he4+si30-->n+s33 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-3.4930 prefac=1.0000 RGsymb:a+b<->c+d
578 n+s33-->he4+si30 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=3.4930 prefac=1.0000 RGsymb:a+b<->c+d
579 he4+si30-->p+p33 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-2.9590 prefac=1.0000 RGsymb:a+b<->c+d
580 p+p33-->he4+si30 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.9590 prefac=1.0000 RGsymb:a+b<->c+d
581 si31-->p31+e+nubar reacClass=1 #react=1 #prod=1 isEC=0 isReverse=0 Q=1.4890 prefac=1.0000 RGsymb:a<->b
582 n+si31-->si32 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=9.2030 prefac=1.0000 RGsymb:a+b<->c
583 si32-->n+si31 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-9.2030 prefac=1.0000 RGsymb:a+b<->c
584 p+si31-->p32 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=8.6450 prefac=1.0000 RGsymb:a+b<->c
585 p32-->p+si31 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-8.6450 prefac=1.0000 RGsymb:a+b<->c
586 he4+si31-->s35 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=8.3220 prefac=1.0000 RGsymb:a+b<->c
587 s35-->he4+si31 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-8.3220 prefac=1.0000 RGsymb:a+b<->c
588 p+si31-->n+p31 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=0.7090 prefac=1.0000 RGsymb:a+b<->c+d
589 n+p31-->p+si31 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-0.7090 prefac=1.0000 RGsymb:a+b<->c+d
590 he4+si31-->n+s34 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.3360 prefac=1.0000 RGsymb:a+b<->c+d
591 n+s34-->he4+si31 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-1.3360 prefac=1.0000 RGsymb:a+b<->c+d
592 si32-->p32+e+nubar reacClass=1 #react=1 #prod=1 isEC=0 isReverse=0 Q=0.2250 prefac=1.0000 RGsymb:a<->b
593 p+si32-->p33 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=9.5460 prefac=1.0000 RGsymb:a+b<->c
594 p33-->p+si32 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-9.5460 prefac=1.0000 RGsymb:a+b<->c
595 he4+si32-->s36 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=9.0080 prefac=1.0000 RGsymb:a+b<->c
596 s36-->he4+si32 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-9.0080 prefac=1.0000 RGsymb:a+b<->c
597 p+si32-->n+p32 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-0.5580 prefac=1.0000 RGsymb:a+b<->c+d
598 n+p32-->p+si32 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=0.5580 prefac=1.0000 RGsymb:a+b<->c+d
599 he4+si32-->n+s35 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-0.8810 prefac=1.0000 RGsymb:a+b<->c+d
600 n+s35-->he4+si32 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=0.8810 prefac=1.0000 RGsymb:a+b<->c+d
601 p29-->si29+e++nu reacClass=1 #react=1 #prod=1 isEC=0 isReverse=0 Q=4.9450 prefac=1.0000 RGsymb:a<->b
602 n+p29-->p30 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=11.3200 prefac=1.0000 RGsymb:a+b<->c
603 p30-->n+p29 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-11.3200 prefac=1.0000 RGsymb:a+b<->c
604 he4+p29-->cl33 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=6.4760 prefac=1.0000 RGsymb:a+b<->c
605 cl33-->he4+p29 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-6.4760 prefac=1.0000 RGsymb:a+b<->c
606 n+p29-->he4+al26 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=0.9050 prefac=1.0000 RGsymb:a+b<->c+d
607 he4+p29-->p+s32 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=4.1990 prefac=1.0000 RGsymb:a+b<->c+d
608 p+s32-->he4+p29 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-4.1990 prefac=1.0000 RGsymb:a+b<->c+d
609 p30-->si30+e++nu reacClass=1 #react=1 #prod=1 isEC=0 isReverse=0 Q=4.2260 prefac=1.0000 RGsymb:a<->b
610 n+p30-->p31 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=12.3120 prefac=1.0000 RGsymb:a+b<->c
611 p31-->n+p30 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-12.3120 prefac=1.0000 RGsymb:a+b<->c
612 he4+p30-->cl34 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=6.6640 prefac=1.0000 RGsymb:a+b<->c
613 cl34-->he4+p30 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-6.6640 prefac=1.0000 RGsymb:a+b<->c
614 he4+p30-->n+cl33 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-4.8430 prefac=1.0000 RGsymb:a+b<->c+d
615 n+cl33-->he4+p30 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=4.8430 prefac=1.0000 RGsymb:a+b<->c+d
616 he4+p30-->p+s33 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.5220 prefac=1.0000 RGsymb:a+b<->c+d
617 p+s33-->he4+p30 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-1.5220 prefac=1.0000 RGsymb:a+b<->c+d
618 n+p31-->p32 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.9364 prefac=1.0000 RGsymb:a+b<->c
619 p32-->n+p31 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.9364 prefac=1.0000 RGsymb:a+b<->c
620 p+p31-->s32 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=8.8640 prefac=1.0000 RGsymb:a+b<->c
621 s32-->p+p31 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-8.8640 prefac=1.0000 RGsymb:a+b<->c
622 he4+p31-->cl35 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=6.9970 prefac=1.0000 RGsymb:a+b<->c
623 cl35-->he4+p31 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-6.9970 prefac=1.0000 RGsymb:a+b<->c
624 he4+p31-->n+cl34 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-5.6480 prefac=1.0000 RGsymb:a+b<->c+d
625 n+cl34-->he4+p31 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=5.6480 prefac=1.0000 RGsymb:a+b<->c+d
626 he4+p31-->p+s34 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=0.6260 prefac=1.0000 RGsymb:a+b<->c+d
627 p+s34-->he4+p31 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-0.6260 prefac=1.0000 RGsymb:a+b<->c+d
628 p32-->s32+e+nubar reacClass=1 #react=1 #prod=1 isEC=0 isReverse=0 Q=1.7120 prefac=1.0000 RGsymb:a<->b
629 n+p32-->p33 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=10.1040 prefac=1.0000 RGsymb:a+b<->c
630 p33-->n+p32 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-10.1040 prefac=1.0000 RGsymb:a+b<->c
631 p+p32-->s33 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=9.5700 prefac=1.0000 RGsymb:a+b<->c
632 s33-->p+p32 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-9.5700 prefac=1.0000 RGsymb:a+b<->c
633 he4+p32-->cl36 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.6410 prefac=1.0000 RGsymb:a+b<->c
634 cl36-->he4+p32 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.6410 prefac=1.0000 RGsymb:a+b<->c
635 p+p32-->n+s32 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=0.9280 prefac=1.0000 RGsymb:a+b<->c+d
636 n+s32-->p+p32 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-0.9280 prefac=1.0000 RGsymb:a+b<->c+d
637 he4+p32-->n+cl35 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-0.9390 prefac=1.0000 RGsymb:a+b<->c+d
638 n+cl35-->he4+p32 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=0.9390 prefac=1.0000 RGsymb:a+b<->c+d
639 he4+p32-->p+s35 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-0.3240 prefac=1.0000 RGsymb:a+b<->c+d
640 p+s35-->he4+p32 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=0.3240 prefac=1.0000 RGsymb:a+b<->c+d
641 p33-->s33+e+nubar reacClass=1 #react=1 #prod=1 isEC=0 isReverse=0 Q=0.2470 prefac=1.0000 RGsymb:a<->b
642 p+p33-->s34 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=10.8830 prefac=1.0000 RGsymb:a+b<->c
643 s34-->p+p33 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-10.8830 prefac=1.0000 RGsymb:a+b<->c
644 he4+p33-->cl37 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.8490 prefac=1.0000 RGsymb:a+b<->c
645 cl37-->he4+p33 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.8490 prefac=1.0000 RGsymb:a+b<->c
646 p+p33-->n+s33 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-0.5340 prefac=1.0000 RGsymb:a+b<->c+d
647 n+s33-->p+p33 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=0.5340 prefac=1.0000 RGsymb:a+b<->c+d
648 he4+p33-->n+cl36 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-2.4620 prefac=1.0000 RGsymb:a+b<->c+d
649 n+cl36-->he4+p33 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.4620 prefac=1.0000 RGsymb:a+b<->c+d
650 he4+p33-->p+s36 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-0.5380 prefac=1.0000 RGsymb:a+b<->c+d
651 p+s36-->he4+p33 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=0.5380 prefac=1.0000 RGsymb:a+b<->c+d
652 n+s32-->s33 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=8.6404 prefac=1.0000 RGsymb:a+b<->c
653 s33-->n+s32 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-8.6404 prefac=1.0000 RGsymb:a+b<->c
654 p+s32-->cl33 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=2.2750 prefac=1.0000 RGsymb:a+b<->c
655 p+s32-->cl33 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=2.2750 prefac=1.0000 RGsymb:a+b<->c
656 p+s32-->cl33 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=2.2750 prefac=1.0000 RGsymb:a+b<->c
657 p+s32-->cl33 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=2.2750 prefac=1.0000 RGsymb:a+b<->c
658 cl33-->p+s32 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-2.2750 prefac=1.0000 RGsymb:a+b<->c
659 cl33-->p+s32 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-2.2750 prefac=1.0000 RGsymb:a+b<->c
660 cl33-->p+s32 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-2.2750 prefac=1.0000 RGsymb:a+b<->c
661 cl33-->p+s32 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-2.2750 prefac=1.0000 RGsymb:a+b<->c
662 he4+s32-->ar36 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=6.6390 prefac=1.0000 RGsymb:a+b<->c
663 ar36-->he4+s32 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-6.6390 prefac=1.0000 RGsymb:a+b<->c
664 he4+s32-->p+cl35 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-1.8670 prefac=1.0000 RGsymb:a+b<->c+d
665 p+cl35-->he4+s32 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.8670 prefac=1.0000 RGsymb:a+b<->c+d
666 n+s33-->s34 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=11.4184 prefac=1.0000 RGsymb:a+b<->c
667 s34-->n+s33 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-11.4184 prefac=1.0000 RGsymb:a+b<->c
668 p+s33-->cl34 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=5.1420 prefac=1.0000 RGsymb:a+b<->c
669 cl34-->p+s33 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-5.1420 prefac=1.0000 RGsymb:a+b<->c
670 he4+s33-->ar37 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=6.7870 prefac=1.0000 RGsymb:a+b<->c
671 ar37-->he4+s33 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-6.7870 prefac=1.0000 RGsymb:a+b<->c
672 p+s33-->n+cl33 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-6.3650 prefac=1.0000 RGsymb:a+b<->c+d
673 n+cl33-->p+s33 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=6.3650 prefac=1.0000 RGsymb:a+b<->c+d
674 he4+s33-->n+ar36 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-2.0020 prefac=1.0000 RGsymb:a+b<->c+d
675 n+ar36-->he4+s33 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.0020 prefac=1.0000 RGsymb:a+b<->c+d
676 he4+s33-->p+cl36 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-1.9280 prefac=1.0000 RGsymb:a+b<->c+d
677 p+cl36-->he4+s33 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.9280 prefac=1.0000 RGsymb:a+b<->c+d
678 n+s34-->s35 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=6.9860 prefac=1.0000 RGsymb:a+b<->c
679 s35-->n+s34 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-6.9860 prefac=1.0000 RGsymb:a+b<->c
680 p+s34-->cl35 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=6.3710 prefac=1.0000 RGsymb:a+b<->c
681 cl35-->p+s34 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-6.3710 prefac=1.0000 RGsymb:a+b<->c
682 he4+s34-->ar38 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.2080 prefac=1.0000 RGsymb:a+b<->c
683 ar38-->he4+s34 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.2080 prefac=1.0000 RGsymb:a+b<->c
684 p+s34-->n+cl34 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-6.2740 prefac=1.0000 RGsymb:a+b<->c+d
685 n+cl34-->p+s34 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=6.2740 prefac=1.0000 RGsymb:a+b<->c+d
686 he4+s34-->n+ar37 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-4.6300 prefac=1.0000 RGsymb:a+b<->c+d
687 n+ar37-->he4+s34 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=4.6300 prefac=1.0000 RGsymb:a+b<->c+d
688 he4+s34-->p+cl37 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-3.0340 prefac=1.0000 RGsymb:a+b<->c+d
689 p+cl37-->he4+s34 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=3.0340 prefac=1.0000 RGsymb:a+b<->c+d
690 s35-->cl35+e+nubar reacClass=1 #react=1 #prod=1 isEC=0 isReverse=0 Q=0.1670 prefac=1.0000 RGsymb:a<->b
691 n+s35-->s36 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=9.8890 prefac=1.0000 RGsymb:a+b<->c
692 s36-->n+s35 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-9.8890 prefac=1.0000 RGsymb:a+b<->c
693 p+s35-->cl36 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.9650 prefac=1.0000 RGsymb:a+b<->c
694 cl36-->p+s35 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.9650 prefac=1.0000 RGsymb:a+b<->c
695 he4+s35-->ar39 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=6.8200 prefac=1.0000 RGsymb:a+b<->c
696 ar39-->he4+s35 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-6.8200 prefac=1.0000 RGsymb:a+b<->c
