
150 ISOTOPES IN NETWORK:

Index  Isotope   A   Z   N  Abundance Y  MassFrac X  MassXS(MeV)
   98      49V  49  23  26  0.00000e+00    0.000000    -47.95600
   99      50V  50  23  27  0.00000e+00    0.000000    -49.21800
  100      51V  51  23  28  0.00000e+00    0.000000    -52.19700
  101     48Cr  48  24  24  0.00000e+00    0.000000    -42.81500
  102     49Cr  49  24  25  0.00000e+00    0.000000    -45.32500
  103     50Cr  50  24  26  0.00000e+00    0.000000    -50.25500
  104     51Cr  51  24  27  0.00000e+00    0.000000    -51.44500
  105     52Cr  52  24  28  0.00000e+00    0.000000    -55.41300
  106     53Cr  53  24  29  0.00000e+00    0.000000    -55.28100
  107     54Cr  54  24  30  0.00000e+00    0.000000    -56.92800
  108     50Mn  50  25  25  0.00000e+00    0.000000    -42.62100
  109     51Mn  51  25  26  0.00000e+00    0.000000    -48.23700
  110     52Mn  52  25  27  0.00000e+00    0.000000    -50.70100
  111     53Mn  53  25  28  0.00000e+00    0.000000    -54.68400
  112     54Mn  54  25  29  0.00000e+00    0.000000    -55.55100
  113     55Mn  55  25  30  0.00000e+00    0.000000    -57.70600
  114     52Fe  52  26  26  0.00000e+00    0.000000    -48.32900
  115     53Fe  53  26  27  0.00000e+00    0.000000    -50.94100
  116     54Fe  54  26  28  0.00000e+00    0.000000    -56.24800
  117     55Fe  55  26  29  0.00000e+00    0.000000    -57.47500
  118     56Fe  56  26  30  0.00000e+00    0.000000    -60.60100
  119     57Fe  57  26  31  0.00000e+00    0.000000    -60.17600
  120     58Fe  58  26  32  0.00000e+00    0.000000    -62.14900
  121     53Co  53  27  26  0.00000e+00    0.000000    -42.63900
  122     54Co  54  27  27  0.00000e+00    0.000000    -48.00500
  123     55Co  55  27  28  0.00000e+00    0.000000    -54.02400
  124     56Co  56  27  29  0.00000e+00    0.000000    -56.03500
  125     57Co  57  27  30  0.00000e+00    0.000000    -59.34000
  126     58Co  58  27  31  0.00000e+00    0.000000    -59.84100
  127     59Co  59  27  32  0.00000e+00    0.000000    -62.22400
  128     56Ni  56  28  28  0.00000e+00    0.000000    -53.90000
  129     57Ni  57  28  29  0.00000e+00    0.000000    -56.07500
  130     58Ni  58  28  30  0.00000e+00    0.000000    -60.22300
  131     59Ni  59  28  31  0.00000e+00    0.000000    -61.15100
  132     60Ni  60  28  32  0.00000e+00    0.000000    -64.46800
  133     61Ni  61  28  33  0.00000e+00    0.000000    -64.21700
  134     62Ni  62  28  34  0.00000e+00    0.000000    -66.74300
  135     57Cu  57  29  28  0.00000e+00    0.000000    -47.30500
  136     58Cu  58  29  29  0.00000e+00    0.000000    -51.66000
  137     59Cu  59  29  30  0.00000e+00    0.000000    -56.35200
  138     60Cu  60  29  31  0.00000e+00    0.000000    -58.34100
  139     61Cu  61  29  32  0.00000e+00    0.000000    -61.98000
  140     62Cu  62  29  33  0.00000e+00    0.000000    -62.79400
  141     63Cu  63  29  34  0.00000e+00    0.000000    -65.57600
  142     59Zn  59  30  29  0.00000e+00    0.000000    -47.25700
  143     60Zn  60  30  30  0.00000e+00    0.000000    -54.18300
  144     61Zn  61  30  31  0.00000e+00    0.000000    -56.34200
  145     62Zn  62  30  32  0.00000e+00    0.000000    -61.16700
  146     63Zn  63  30  33  0.00000e+00    0.000000    -62.20900
  147     64Zn  64  30  34  0.00000e+00    0.000000    -65.99900
  148     65Zn  65  30  35  0.00000e+00    0.000000    -65.90800
  149     66Zn  66  30  36  0.00000e+00    0.000000    -68.89600

SUMMARY: 1604 REACTIONS

0 n-->p+e+nubar reacClass=1 #react=1 #prod=1 isEC=0 isReverse=0 Q=0.7823 prefac=1.0000 RGsymb:a<->b
1 n+p-->d reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=2.2244 prefac=1.0000 RGsymb:a+b<->c
2 d-->n+p reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-2.2244 prefac=1.0000 RGsymb:a+b<->c
3 p+d-->n+p+p reacClass=6 #react=2 #prod=3 isEC=0 isReverse=0 Q=-2.2250 prefac=1.0000 RGsymb:a+b<->c+d+e
4 p+p+e-->d+nu reacClass=4 #react=2 #prod=1 isEC=1 isReverse=0 Q=1.4421 prefac=0.5000 RGsymb:a+b<->c
5 p+p-->d+e++nu reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=1.4421 prefac=0.5000 RGsymb:a+b<->c
6 p+d-->he3 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=5.4940 prefac=1.0000 RGsymb:a+b<->c
7 he3-->p+d reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-5.4940 prefac=1.0000 RGsymb:a+b<->c
8 d+d-->he4 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=23.8470 prefac=0.5000 RGsymb:a+b<->c
9 he4-->d+d reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-23.8470 prefac=1.0000 RGsymb:a+b<->c
10 d+d-->n+he3 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=3.2690 prefac=0.5000 RGsymb:a+b<->c+d
